Produto,,Unidade,18,19,20,21,22,23,Total,Média,Saldo,Projeç.,
210355,"CLOPAM 2,5 MG/ML-20ML FR SOL ORAL (CLONAzepam)",FRASC C/20ML,0,1,0,0,0,0,1,"0,167","16,54",,"99,22"
210356,CLOPAM 2 MG COMP(CLONAzepam),COMP C/2MG,0,0,2,2,3,0,7,"1,167",7,,6
210366,FIO SUTURA ABSORV VICRYL PLUS 3-0 70CM-XYVCP311H,UNIDADE,1,0,0,0,0,0,1,"0,167",21,,"125,975"
210500,CLOREXIDINA ALCOOLICA AZUL 2 %-100ML FR ALMOT TOP-RIOQUIMICA,FRASC C/100ML,28,37,38,71,50,17,241,"40,167","964,86",,"24,021"
210698,CURATIVO FILME TRANSPAR OPSITE FLEXIFIX 15CMX10M-66000375,UNIDADE,0,0,0,0,12,0,12,2,17,,"8,5"
Produto,,Unidade,18,19,20,21,22,23,Total,Média,Saldo,Projeç.,
210881,"CLOREXIDINA ALCOLICA AZUL RIOQUIMICA 0,5%-100ML FR ALMOT",FRASC C/100ML,0,0,0,1,0,0,1,"0,167",36,,"215,957"
211955,CONECTOR TRANSICAO EXTREMIDADE DISTAL ENTERAL ENFIT-777444,UNIDADE,1,1,2,2,2,0,8,"1,333",1738,,"1303,533"
212443,VYNAXA 10 MG COMP REV(RIVAROXABANA),COMP C/10MG,0,0,2,3,4,3,12,2,136,,68
212581,CAPA EQUIPAMENTO VIDEOCIRURGIA EST 150X2500MM-T0097,UNIDADE,-4,35,-1,54,47,17,148,"24,667",1328,,"53,838"
212726,FIO SUTURA ABSORV VICRYL PLUS 0 70CM-VCP603H,UNIDADE,-2,4,8,3,2,14,29,"4,833",244,,"50,483"
212857,FILTRO PAPEL RETANGULAR C/INDICADOR QUIM ESTERIL-133112,UNIDADE,0,0,100,0,0,0,100,"16,667",2200,,132
212959,FIXADOR MULTFIX ADESIVO TAM G-MFCGI,UNIDADE,1,2,0,0,0,0,3,"0,5",64,,128
213059,LACRE PLASTICO INDICADOR AZUL FAMI,UNIDADE,0,0,1000,0,0,0,1000,"166,667",800,,"4,8"
213064,SOLUCAO ENDO FOG SACHE 3ML-T0032,UNIDADE,0,0,50,0,0,0,50,"8,333",132,,"15,84"
